"PERIOD","VARIABLE","VALUE","UNIT_MEAS","STATUS"
"1987","GDP","1.5854781669588","ACPP","A"
"1988","GDP","315400.59655969","MCHF","A"
"1988","GDP","6.15928744965446","AC","A"
"1988","GDP","3.27759625240875","ACPP","A"
"1989","GDP","340440.35481451","MCHF","A"
"1989","GDP","7.93903325737084","AC","A"
"1989","GDP","4.33079405316317","ACPP","A"
"1990","GDP","369198.756762889","MCHF","A"
"1990","GDP","8.44741275282948","AC","A"
"1990","GDP","3.67462563323668","ACPP","A"
"1991","GDP","385605.029403516","MCHF","A"
"1991","GDP","4.4437507819572","AC","A"
"1991","GDP","-0.915816571312067","ACPP","A"
"1992","GDP","393625.509319129","MCHF","A"
"1992","GDP","2.07997284890697","AC","A"
"1992","GDP","-0.0437329929711683","ACPP","A"
"1993","GDP","402258.169833671","MCHF","A"
"1993","GDP","2.19311510818361","AC","A"
"1993","GDP","-0.125983546044495","ACPP","A"
"1994","GDP","412190.662743032","MCHF","A"
"1994","GDP","2.46918363733104","AC","A"
"1994","GDP","1.26975769664122","ACPP","A"
"1995","GDP","417228.340764342","MCHF","A"
"1995","GDP","1.22217179491293","AC","A"
"1995","GDP","0.480866444168226","ACPP","A"
"1996","GDP","420368.493912857","MCHF","A"
"1996","GDP","0.752622207485443","AC","A"
"1996","GDP","0.471280037333344","ACPP","A"
"1997","GDP","427826.113313086","MCHF","A"
"1997","GDP","1.77406715969883","AC","A"
"1997","GDP","2.26132529086975","ACPP","A"
"1998","GDP","439954.878698141","MCHF","A"
"1998","GDP","2.8349754742949","AC","A"
"1998","GDP","3.02996923841197","ACPP","A"
"1999","GDP","447465.786937466","MCHF","A"
"1999","GDP","1.70719967046411","AC","A"
"1999","GDP","1.66270111759088","ACPP","A"
"2000","GDP","471540.038343875","MCHF","A"
"2000","GDP","5.38013231607659","AC","A"
"2000","GDP","3.95871985092731","ACPP","A"
"2001","GDP","483636.918238318","MCHF","A"
"2001","GDP","2.56539825057667","AC","A"
"2001","GDP","1.57566198472292","ACPP","A"
"2002","GDP","482077.197007523","MCHF","A"
"2002","GDP","-0.322498380908653","AC","A"
"2002","GDP","-0.0732172025847411","ACPP","A"
"2003","GDP","487606.518867422","MCHF","A"
"2003","GDP","1.14697851178658","AC","A"
"2003","GDP","-0.0323984601758864","ACPP","A"
"2004","GDP","502265.680026119","MCHF","A"
"2004","GDP","3.00635052885383","AC","A"
"2004","GDP","2.70170917907471","ACPP","A"
"2005","GDP","520848.315345466","MCHF","A"
"2005","GDP","3.699762109643","AC","A"
"2005","GDP","2.74969910655596","ACPP","A"
"2006","GDP","553721.551628673","MCHF","A"
"2006","GDP","6.3114798137349","AC","A"
"2006","GDP","4.07362848399595","ACPP","A"
"2007","GDP","589085.155401668","MCHF","A"
"2007","GDP","6.3865319435336","AC","A"
"2007","GDP","3.91637565224268","ACPP","A"
"2008","GDP","614407.719341564","MCHF","A"
"2008","GDP","4.29862536981249","AC","A"
"2008","GDP","2.80798370288597","ACPP","A"
"2009","GDP","603039.073630263","MCHF","A"
"2009","GDP","-1.85034226514664","AC","A"
"2009","GDP","-2.29737459490951","ACPP","A"
"2010","GDP","624545.118545873","MCHF","A"
"2010","GDP","3.56627718766949","AC","A"
"2010","GDP","3.24339724191183","ACPP","A"
"2011","GDP","635738.744235166","MCHF","A"
"2011","GDP","1.79228455349316","AC","A"
"2011","GDP","1.81310829246113","ACPP","A"
"2012","GDP","643645.589067922","MCHF","A"
"2012","GDP","1.24372549328708","AC","A"
"2012","GDP","1.17925372895265","ACPP","A"
"2013","GDP","654611.668970321","MCHF","A"
"2013","GDP","1.70374505607656","AC","A"
"2013","GDP","1.79214413363036","ACPP","A"
"2014","GDP","665618.374466887","MCHF","A"
"2014","GDP","1.68140991343453","AC","A"
"2014","GDP","2.34988129204587","ACPP","A"
"2015","GDP","668006.381699435","MCHF","A"
"2015","GDP","0.358765221056312","AC","A"
"2015","GDP","1.6446276196292","ACPP","A"
"2016","GDP","677848.330564167","MCHF","A"
"2016","GDP","1.47333156304486","AC","A"
"2016","GDP","2.06868967681257","ACPP","A"
"2017","GDP","684558.467478291","MCHF","A"
"2017","GDP","0.989917155735998","AC","A"
"2017","GDP","1.36279964655841","ACPP","A"
"2018","GDP","709521.556495542","MCHF","A"
"2018","GDP","3.64659706996349","AC","A"
"2018","GDP","2.86044575084443","ACPP","A"
"2019","GDP","716878.589831865","MCHF","A"
"2019","GDP","1.03690060844108","AC","A"
"2019","GDP","1.14198224809769","ACPP","A"
"2020","GDP","696619.958670146","MCHF","A"
"2020","GDP","-2.82595009099593","AC","A"
"2020","GDP","-2.14173719549993","ACPP","A"
"2021","GDP","743330.231111451","MCHF","A"
"2021","GDP","6.70527335024995","AC","A"
"2021","GDP","5.39188809771023","ACPP","A"
"2022","GDP","781460.269370374","MCHF","A"
"2022","GDP","5.12962296742603","AC","A"
"2022","GDP","2.56832823618922","ACPP","A"
"1948","GDPPC","4952.34360570707","CHF","A"
"1948","GDPPC",,"AC","O"
"1948","GDPPC",,"ACPP","O"
"1949","GDPPC","4828.07451602614","CHF","A"
"1949","GDPPC","-2.50929861849094","AC","A"
"1949","GDPPC","-4.70026055014524","ACPP","A"
"1950","GDPPC","5029.39606238037","CHF","A"
"1950","GDPPC","4.16981025636556","AC","A"
"1950","GDPPC","5.81465478371304","ACPP","A"
"1951","GDPPC","5448.46020598516","CHF","A"
"1951","GDPPC","8.33229553622492","AC","A"
"1951","GDPPC","6.29607277647504","ACPP","A"
"1952","GDPPC","5678.0242042789","CHF","A"
"1952","GDPPC","4.21337386371223","AC","A"
"1952","GDPPC","-0.597153503145809","ACPP","A"
"1953","GDPPC","5882.7635970401","CHF","A"
"1953","GDPPC","3.60582106372334","AC","A"
"1953","GDPPC","2.00705406001191","ACPP","A"
"1954","GDPPC","6169.25184034159","CHF","A"
"1954","GDPPC","4.8699601569173","AC","A"
"1954","GDPPC","4.40858192984905","ACPP","A"
"1955","GDPPC","6586.66571395808","CHF","A"
"1955","GDPPC","6.76603718601607","AC","A"
"1955","GDPPC","5.36189263702818","ACPP","A"
"1956","GDPPC","6990.54337992585","CHF","A"
"1956","GDPPC","6.13174682771433","AC","A"
"1956","GDPPC","4.99949572959848","ACPP","A"
"1957","GDPPC","7318.75886904004","CHF","A"
"1957","GDPPC","4.6951355749639","AC","A"
"1957","GDPPC","2.34907112895206","ACPP","A"
"1958","GDPPC","7418.91948544814","CHF","A"
"1958","GDPPC","1.36854647352578","AC","A"
"1958","GDPPC","-3.51349504209209","ACPP","A"
"1959","GDPPC","7789.37351954981","CHF","A"
"1959","GDPPC","4.99336911295905","AC","A"
"1959","GDPPC","5.04267017327362","ACPP","A"
"1960","GDPPC","8403.15788415471","CHF","A"
"1960","GDPPC","7.87976546591869","AC","A"
"1960","GDPPC","4.76080654696134","ACPP","A"
"1961","GDPPC","9196.01632755609","CHF","A"
"1961","GDPPC","9.43524392057924","AC","A"
"1961","GDPPC","5.4038718397331","ACPP","A"
"1962","GDPPC","9920.69125971057","CHF","A"
"1962","GDPPC","7.88031367433502","AC","A"
"1962","GDPPC","2.16775306898851","ACPP","A"
"1963","GDPPC","10677.3541399396","CHF","A"
"1963","GDPPC","7.62711851846418","AC","A"
"1963","GDPPC","2.72601404107324","ACPP","A"
"1964","GDPPC","11638.3561697545","CHF","A"
"1964","GDPPC","9.0003760971094","AC","A"
"1964","GDPPC","3.3487817282382","ACPP","A"
"1965","GDPPC","12347.3128720914","CHF","A"
"1965","GDPPC","6.09155358365241","AC","A"
"1965","GDPPC","2.0937564377536","ACPP","A"
"1966","GDPPC","13142.0595285293","CHF","A"
"1966","GDPPC","6.43659608103286","AC","A"
"1966","GDPPC","1.50604649384092","ACPP","A"
"1967","GDPPC","13990.1628151922","CHF","A"
"1967","GDPPC","6.45335143111931","AC","A"
"1967","GDPPC","1.8624635716693","ACPP","A"
"1968","GDPPC","14770.6520723103","CHF","A"
"1968","GDPPC","5.57884327315055","AC","A"
"1968","GDPPC","2.53060914277363","ACPP","A"
"1969","GDPPC","15798.3785426263","CHF","A"
"1969","GDPPC","6.95789505625515","AC","A"
"1969","GDPPC","4.24739697962551","ACPP","A"
"1970","GDPPC","17443.2018504429","CHF","A"
"1970","GDPPC","10.4113425525203","AC","A"
"1970","GDPPC","5.42533588981682","ACPP","A"
"1971","GDPPC","19577.0660027467","CHF","A"
"1971","GDPPC","12.233213664552","AC","A"
"1971","GDPPC","3.02107598170964","ACPP","A"
"1972","GDPPC","21982.720694869","CHF","A"
"1972","GDPPC","12.2881267897076","AC","A"
"1972","GDPPC","2.51890397855985","ACPP","A"
"1973","GDPPC","24345.9716119485","CHF","A"
"1973","GDPPC","10.7504933073691","AC","A"
"1973","GDPPC","2.52398008786185","ACPP","A"
"1974","GDPPC","26335.4818461077","CHF","A"
"1974","GDPPC","8.1718251621669","AC","A"
"1974","GDPPC","0.881419077227608","ACPP","A"
"1975","GDPPC","26389.7935595876","CHF","A"
"1975","GDPPC","0.206230187080791","AC","A"
"1975","GDPPC","-5.88902500115677","ACPP","A"
"1976","GDPPC","27025.9689823809","CHF","A"
"1976","GDPPC","2.4106873794101","AC","A"
"1976","GDPPC","0.259607191297584","ACPP","A"
"1977","GDPPC","27829.3265068814","CHF","A"
"1977","GDPPC","2.97253920858187","AC","A"
"1977","GDPPC","2.63294332368473","ACPP","A"
"1978","GDPPC","28878.8820427878","CHF","A"
"1978","GDPPC","3.77140113558592","AC","A"
"1978","GDPPC","0.337134907944092","ACPP","A"
"1979","GDPPC","30100.0775204507","CHF","A"
"1979","GDPPC","4.22867989090965","AC","A"
"1979","GDPPC","2.13780869605977","ACPP","A"
"1980","GDPPC","32163.3224127871","CHF","A"
"1980","GDPPC","6.85461654022175","AC","A"
"1980","GDPPC","3.82267614137866","ACPP","A"
"1981","GDPPC","34292.3449169506","CHF","A"
"1981","GDPPC","6.61941100748056","AC","A"
"1981","GDPPC","0.906959693000831","ACPP","A"
"1982","GDPPC","36116.2804806673","CHF","A"
"1982","GDPPC","5.31878344316767","AC","A"
"1982","GDPPC","-1.89035359487644","ACPP","A"
"1983","GDPPC","37122.7877151712","CHF","A"
"1983","GDPPC","2.78685186045873","AC","A"
"1983","GDPPC","0.410257416308513","ACPP","A"
"1984","GDPPC","39535.940890817","CHF","A"
"1984","GDPPC","6.50046325766531","AC","A"
"1984","GDPPC","2.64151395844496","ACPP","A"
"1985","GDPPC","41738.3027080488","CHF","A"
"1985","GDPPC","5.57053093364797","AC","A"
"1985","GDPPC","3.22653442887479","ACPP","A"
"1986","GDPPC","43540.1400368141","CHF","A"
"1986","GDPPC","4.31698754347738","AC","A"
"1986","GDPPC","1.2446243087435","ACPP","A"
"1987","GDPPC","44886.0456839981","CHF","A"
"1987","GDPPC","3.09118355165134","AC","A"
"1987","GDPPC","0.878432856620415","ACPP","A"
"1988","GDPPC","47275.5594153565","CHF","A"
"1988","GDPPC","5.32351133842524","AC","A"
"1988","GDPPC","2.46450726277256","ACPP","A"
"1989","GDPPC","50637.8444184209","CHF","A"
"1989","GDPPC","7.11209987707155","AC","A"
"1989","GDPPC","3.53150380947553","ACPP","A"
"1990","GDPPC","54766.8262276853","CHF","A"
"1990","GDPPC","8.15394465677988","AC","A"
"1990","GDPPC","3.3940731127023","ACPP","A"
"1991","GDPPC","56459.7062396335","CHF","A"
"1991","GDPPC","3.09106831370936","AC","A"
"1991","GDPPC","-2.19908566880402","ACPP","A"
"1992","GDPPC","57057.362897133","CHF","A"
"1992","GDPPC","1.05855431652953","AC","A"
"1992","GDPPC","-1.04390159312712","ACPP","A"
"1993","GDPPC","57740.0645805266","CHF","A"
"1993","GDPPC","1.1965181156802","AC","A"
"1993","GDPPC","-1.09996446757601","ACPP","A"
"1994","GDPPC","58559.2136269939","CHF","A"
"1994","GDPPC","1.41868398038392","AC","A"
"1994","GDPPC","0.231554385721977","ACPP","A"
"1995","GDPPC","58802.0807030996","CHF","A"
"1995","GDPPC","0.414737598173254","AC","A"
"1995","GDPPC","-0.320654470137227","ACPP","A"
"1996","GDPPC","58953.0083662127","CHF","A"
"1996","GDPPC","0.256670616597976","AC","A"
"1996","GDPPC","-0.0232866556346245","ACPP","A"
"1997","GDPPC","59832.4351179134","CHF","A"
"1997","GDPPC","1.49174194171358","AC","A"
"1997","GDPPC","1.97764839988999","ACPP","A"
"1998","GDPPC","61354.4332459302","CHF","A"
"1998","GDPPC","2.54376764879671","AC","A"
"1998","GDPPC","2.73820923006201","ACPP","A"
"1999","GDPPC","62063.313850084","CHF","A"
"1999","GDPPC","1.155386117434","AC","A"
"1999","GDPPC","1.11112899195869","ACPP","A"
"2000","GDPPC","65047.124584446","CHF","A"
"2000","GDPPC","4.80768838990699","AC","A"
"2000","GDPPC","3.39399729418828","ACPP","A"
"2001","GDPPC","66429.5181450708","CHF","A"
"2001","GDPPC","2.12521855417327","AC","A"
"2001","GDPPC","1.13972993729716","ACPP","A"
"2002","GDPPC","65734.208113837","CHF","A"
"2002","GDPPC","-1.04668835579295","AC","A"
"2002","GDPPC","-0.799218287572456","ACPP","A"
"2003","GDPPC","65999.8665222551","CHF","A"
"2003","GDPPC","0.40414027344482","AC","A"
"2003","GDPPC","-0.766575181138662","ACPP","A"
"2004","GDPPC","67523.3491108462","CHF","A"
"2004","GDPPC","2.3083116207173","AC","A"
"2004","GDPPC","2.00573472147043","ACPP","A"
"2005","GDPPC","69610.0721222642","CHF","A"
"2005","GDPPC","3.09037249913724","AC","A"
"2005","GDPPC","2.14589252258408","ACPP","A"
"2006","GDPPC","73582.8854795034","CHF","A"
"2006","GDPPC","5.70723924874166","AC","A"
"2006","GDPPC","3.48210715265662","ACPP","A"
"2007","GDPPC","77627.0067883066","CHF","A"
"2007","GDPPC","5.49600804922183","AC","A"
"2007","GDPPC","3.04652855940097","ACPP","A"
"2008","GDPPC","79999.8436665357","CHF","A"
"2008","GDPPC","3.05671566688115","AC","A"
"2008","GDPPC","1.58382344145669","ACPP","A"
